atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1,link.2.3,name.3,p.2.3,w.3
0,vm01,0,5,l12,vm02,10000,5,,,,
0.4,vm01,0,5,l12,vm02,10000,5,,,,
0.4,vm01,0,5,l12,vm02,10000,5,,,,
0.4,vm01,0,5,l12,vm02,10000,5,,,,
0.4,vm01,0,5,l12,vm02,10000,5,,,,
0.8,vm01,0,5,l12,vm02,10000,5,,,,
1.2,vm01,0,5,l12,vm02,10000,5,,,,
1.5,vm01,0,5,l12,vm02,10000,5,,,,
1.5,vm01,0,5,l12,vm02,10000,5,,,,
1.5,vm01,0,5,l12,vm02,10000,5,,,,
1.5,vm01,0,5,l12,vm02,10000,5,,,,
1.8,vm01,0,5,l12,vm02,10000,5,,,,
2.1,vm01,0,5,l12,vm02,10000,5,,,,
2.4,vm01,0,5,l12,vm02,10000,5,,,,
2.4,vm01,0,5,l12,vm02,10000,5,,,,
2.7,vm01,0,5,l12,vm02,10000,5,,,,
3,vm01,0,5,l12,vm02,10000,5,,,,
3.5,vm01,0,5,l12,vm02,10000,5,,,,
4,vm01,0,5,l12,vm02,110000,5,,,,
4.8,vm01,0,5,l12,vm02,10000,5,,,,
5.6,vm01,0,5,l12,vm02,110000,5,,,,
6.4,vm01,0,5,l12,vm02,10000,5,,,,
6.5,vm01,0,5,l12,vm02,10000,5,,,,
6.6,vm01,0,5,l12,vm02,10000,5,,,,
6.7,vm01,0,5,l12,vm02,10000,5,,,,
6.8,vm01,0,5,l12,vm02,10000,5,,,,
6.9,vm01,0,5,l12,vm02,10000,5,,,,
7,vm01,0,5,l12,vm02,10000,5,,,,
7.1,vm01,0,5,l12,vm02,10000,5,,,,
7.3,vm01,0,5,l12,vm02,10000,5,,,,
7.5,vm01,0,5,l12,vm02,10000,5,,,,
8,vm01,0,5,l12,vm02,10000,5,,,,
8.2,vm01,0,5,l12,vm02,10000,5,,,,
8.6,vm01,0,5,l12,vm02,10000,5,,,,
9.2,vm01,0,5,l12,vm02,10000,5,,,,
9.6,vm01,0,5,l12,vm02,10000,5,,,,
10.2,vm01,0,5,l12,vm02,10000,5,,,,
11.3,vm01,0,5,l12,vm02,10000,5,,,,
12.1,vm01,0,5,l12,vm02,10000,5,,,,
12.3,vm01,0,5,l12,vm02,10000,5,,,,
12.5,vm01,0,5,l12,vm02,10000,5,,,,
13.1,vm01,0,5,l12,vm02,10000,5,,,,
14.5,vm01,0,5,l12,vm02,10000,5,,,,
14.6,vm01,0,5,l12,vm02,10000,5,,,,
15.5,vm01,0,5,l12,vm02,10000,5,,,,
16.1,vm01,0,5,l12,vm02,10000,5,,,,
16.2,vm01,0,5,l12,vm02,10000,5,,,,
17.2,vm01,0,5,l12,vm02,10000,5,,,,
17.5,vm01,0,5,l12,vm02,10000,5,,,,
17.6,vm01,0,5,l12,vm02,10000,5,,,,
17.7,vm01,0,5,l12,vm02,10000,5,,,,
20,vm02,0,5,default,vm03,10000,5,,,,
30,vm02,0,5,default,vm03,10000,5,,,,
100,vm01,0,5,l12,vm02,10000,5,,,,
100,vm01,0,5,l12,vm02,10000,5,,,,
100,vm01,0,5,l12,vm02,10000,5,,,,
100,vm01,0,5,l12,vm02,10000,5,,,,
